assists,games,goals,id,key_passes,league,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,year,yellow_cards
0,13,0,7963,2,RFPL,0,0.4721578322350979,Massimiliano Mangraviti,D S,0,3,Brescia,984,0.11055319011211395,0.4721578322350979,1.0397275481373072,1.0561908204108477,2021,2
0,4,0,7964,0,RFPL,0,0,Enrico Alfonso,GK,0,0,Brescia,279,0,0,0.24211768805980682,0.24211768805980682,2021,0
0,1,0,7965,0,RFPL,0,0,Luca Tremolada,S,0,0,Brescia,13,0,0,0,0,2021,0
0,1,0,7966,0,RFPL,0,0,Felipe Curcio,S,0,0,Brescia,1,0,0,0,0,2021,0
5,31,0,7971,41,RFPL,0,0.4616399025544524,Jacopo Petriccione,M S,0,18,Lecce,2155,1.735713168978691,0.4616399025544524,6.036617295816541,7.436386229470372,2021,10
0,3,0,7974,2,RFPL,0,0,Romario Benzar,D S,0,0,Lecce,98,0.09429973363876343,0,0.3505873903632164,0.367258720099926,2021,0
0,1,0,7978,0,RFPL,0,0,Edgaras Dubickas,S,0,0,Lecce,1,0,0,0,0,2021,0
1,8,0,7979,3,RFPL,0,0.10128322709351778,Brayan Vera,D S,0,4,Lecce,142,0.1549488678574562,0.10128322709351778,0.158576387912035,0.19076710101217031,2021,0
1,31,0,7994,9,RFPL,0,0.2714410489425063,Ales Mateju,D S,1,6,Brescia,2545,0.9307631915435195,0.2714410489425063,2.49373990483582,3.275203892029822,2021,8
0,6,0,8007,0,RFPL,0,0.4868572801351547,Yildirim Mert Cetin,D S,1,3,Roma,248,0,0.4868572801351547,0.30423692613840103,0.30423692613840103,2021,2
0,5,0,8008,0,RFPL,0,0,Mauro Vigorito,GK S,0,0,Lecce,423,0,0,0.7476548925042152,0.7476548925042152,2021,1
1,19,0,8027,7,RFPL,0,0.375071806833148,Peter Ankersen,D M S,0,13,Genoa,1043,0.6045531593263149,0.375071806833148,2.9203384667634964,3.6887314449995756,2021,2
0,14,0,8030,3,RFPL,0,0.018178066238760948,Sebastian Walukiewicz,D S,0,1,Cagliari,1172,0.057988413609564304,0.018178066238760948,0.9430385529994965,0.9751345505937934,2021,1
1,26,0,8034,8,RFPL,0,0.6024996321648359,Georgios Kyriakopoulos,D S,0,21,Sassuolo,1622,0.5695606842637062,0.6024996321648359,6.632143734022975,7.303974685259163,2021,4
0,2,0,8036,0,RFPL,0,0,Luigi Vitale,S,0,0,Verona,33,0,0,0,0,2021,0
0,10,0,8063,3,RFPL,0,0.25368876568973064,Georgi Tunjov,M S,0,6,SPAL 2013,275,0.045953089371323586,0.25368876568973064,0.49406472966074944,0.5397257320582867,2021,0
0,2,0,8101,0,RFPL,0,0,Stefano Turati,GK,0,0,Sassuolo,180,0,0,0.4919653180986643,0.4919653180986643,2021,0
0,1,0,8102,1,RFPL,0,0,Stefano Piccinini,S,0,0,Sassuolo,6,0.02770497091114521,0,0.014999154955148697,0.042704127728939056,2021,0
1,5,0,8105,10,RFPL,0,0.18522657454013824,Gonzalo Maroni,M S,0,5,Sampdoria,174,0.41922735050320625,0.9465253911912441,0.3238949626684189,0.6981364078819752,2021,0
0,4,0,8110,1,RFPL,0,0.2787046730518341,Pedro,S,0,5,Fiorentina,51,0.01853366754949093,0.2787046730518341,0.058577876538038254,0.3558162171393633,2021,0
0,2,0,8111,0,RFPL,0,0.02292587049305439,Lucas,S,0,1,Verona,21,0,0.02292587049305439,0.015526365488767624,0.038452234119176865,2021,0
0,3,0,8113,0,RFPL,0,0.04100389778614044,Marco Olivieri,S,0,1,Juventus,23,0,0.04100389778614044,0.030759572982788086,0.07176347076892853,2021,0
